Time,Extension,Load
(sec),(mm),(N)
37.50000,-4.42892,-17.20434
37.60000,-4.43852,-17.27264
37.70000,-4.44879,-17.35794
37.80000,-4.45892,-17.42760
37.90000,-4.46852,-17.49527
38.00000,-4.47879,-17.57463
38.10000,-4.48866,-17.64037
38.20000,-4.49866,-17.71955
38.30000,-4.50866,-17.79456
38.40000,-4.51852,-17.86156
38.50000,-4.52866,-17.93673
38.60000,-4.53852,-17.99124
38.70000,-4.54879,-18.08042
38.80000,-4.55866,-18.14985
38.90000,-4.56866,-18.22121
39.00000,-4.57892,-18.29840
39.10000,-4.58852,-18.36031
39.20000,-4.59866,-18.43192
39.30000,-4.60879,-18.50264
39.40000,-4.61839,-18.56040
39.50000,-4.62879,-18.62664
39.60000,-4.63879,-18.69393
39.70000,-4.64852,-18.76010
39.80000,-4.65866,-18.82109
39.90000,-4.66866,-18.88760
40.00000,-4.67866,-18.94421
40.10000,-4.68879,-19.00743
40.20000,-4.69879,-19.06653
40.30000,-4.70866,-19.13561
40.40000,-4.71879,-19.19209
40.50000,-4.72892,-19.26210
40.60000,-4.73865,-19.31023
40.70000,-4.74879,-19.38046
40.80000,-4.75879,-19.43857
40.90000,-4.76852,-19.49216
41.00000,-4.77879,-19.55302
41.10000,-4.78865,-19.61217
41.20000,-4.79852,-19.66936
41.30000,-4.80892,-19.74028
41.40000,-4.81879,-19.78791
41.50000,-4.82866,-19.83891
41.60000,-4.83892,-19.89935
41.70000,-4.84879,-19.95931
41.80000,-4.85865,-20.01310
41.90000,-4.86879,-20.06564
42.00000,-4.87879,-20.12530
42.10000,-4.88865,-20.17253
42.20000,-4.89865,-20.22848
42.30000,-4.90879,-20.29406
42.40000,-4.91852,-20.34036
42.50000,-4.92892,-20.40608
42.60000,-4.93865,-20.45526
42.70000,-4.94852,-20.51035
42.80000,-4.95892,-20.57008
42.90000,-4.96865,-20.61640
43.00000,-4.97865,-20.67070
43.10000,-4.98892,-20.72727
43.20000,-4.99852,-20.77045
43.30000,-5.00879,-20.82803
43.40000,-5.01879,-20.88091
43.50000,-5.02865,-20.93724
43.60000,-5.03865,-20.98575
43.70000,-5.04839,-21.03572
43.80000,-5.05865,-21.08624
43.90000,-5.06852,-21.15013
44.00000,-5.07865,-21.20208
44.10000,-5.08879,-21.24712
44.20000,-5.09839,-21.29241
44.30000,-5.10892,-21.35341
44.40000,-5.11879,-21.39623
44.50000,-5.12865,-21.44315
44.60000,-5.13892,-21.49096
